*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=StreamCon V1_7
*Date=11:07:56
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
113;;;17.4489;-17.9502;0;Bottom;TXT5
114;;THT;18.7024;-12.879;0;Bottom;L32
115;;;54.8737;-55.925;0;Bottom;TXT1
116;;;52.5088;-12.8202;90;Bottom;TXT5
117;;;76.6822;-83.7135;0;Bottom;TXT1
118;;THT;59.3424;-20.499;0;Bottom;B21
119;;;40.3106;-25.8118;0;Bottom;TXT5
120;1k;THT;87.2824;-50.725;0;Bottom;R3
121;1k;THT;87.2824;-73.585;0;Bottom;R12
122;;THT;18.7024;-5.25901;0;Bottom;L42
123;;;37.7895;-18.1237;0;Bottom;TXT5
124;;THT;28.8624;-5.25901;0;Bottom;L43
125;;;30.2293;-25.8126;0;Bottom;TXT5
126;;;75.7223;-58.359;0;Bottom;TXT1
127;;;9.74931;-25.6235;0;Bottom;TXT5
128;;THT;39.0224;-5.25901;0;Bottom;L44
129;;;11.4008;-50.8104;0;Bottom;TXT1
130;;THT;30.1324;-66.219;0;Bottom;J36
131;;;27.6594;-25.8651;0;Bottom;TXT5
132;1k;THT;47.1504;-85.269;90;Bottom;R14
133;1k;THT;87.2824;-58.345;0;Bottom;R6
134;;THT;69.5024;-5.25901;0;Bottom;B42
135;;THT;39.0224;-20.499;0;Bottom;L24
136;;;47.9839;-18.0557;90;Bottom;TXT5
137;;;75.7223;-60.9932;0;Bottom;TXT1
138;;;73.3123;-40.057;0;Bottom;Via10
139;1k;THT;87.2824;-65.965;0;Bottom;R9
140;;;40.4444;-10.5342;0;Bottom;TXT5
141;;;32.7021;-55.8664;0;Bottom;TXT1
142;;THT;8.54244;-5.25901;0;Bottom;L41
143;;;52.7459;-25.6009;90;Bottom;TXT5
144;;THT;69.5024;-20.499;0;Bottom;B22
145;;;18.0505;-60.937;0;Bottom;TXT1
146;;THT;50.4524;-28.119;0;Bottom;J41
147;;;12.0355;-68.5946;0;Bottom;TXT1
148;;;20.1038;-10.3607;0;Bottom;TXT5
149;;THT;18.7024;-28.119;0;Bottom;L12
